[2022-04-11 00:02:55,138]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635375122, data=[48511], isExpired=false}
[2022-04-11 00:03:00,215]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635380097, data=[49751], isExpired=false}
[2022-04-11 00:03:05,140]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635385121, data=[47811], isExpired=false}
[2022-04-11 00:03:10,234]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635390220, data=[49370], isExpired=false}
[2022-04-11 00:03:15,143]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635395122, data=[48677], isExpired=false}
[2022-04-11 00:03:20,140]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635400122, data=[49117], isExpired=false}
[2022-04-11 00:03:25,235]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635405222, data=[49399], isExpired=false}
[2022-04-11 00:03:30,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635410121, data=[48196], isExpired=false}
[2022-04-11 00:03:35,138]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635415122, data=[49424], isExpired=false}
[2022-04-11 00:03:40,218]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635420102, data=[49528], isExpired=false}
[2022-04-11 00:03:45,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635425122, data=[49553], isExpired=false}
[2022-04-11 00:03:50,140]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635430122, data=[48630], isExpired=false}
[2022-04-11 00:03:55,143]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635435025, data=[49055], isExpired=false}
[2022-04-11 00:04:00,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635440122, data=[48783], isExpired=false}
[2022-04-11 00:04:05,138]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635445122, data=[48764], isExpired=false}
[2022-04-11 00:04:10,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635450122, data=[49570], isExpired=false}
[2022-04-11 00:04:15,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635455122, data=[49889], isExpired=false}
[2022-04-11 00:04:20,143]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649635460122, data=[49612], isExpired=false}
