[2022-04-10 00:02:55,204]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548975087, data=[50358], isExpired=false}
[2022-04-10 00:03:00,190]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548980073, data=[50013], isExpired=false}
[2022-04-10 00:03:05,220]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548985106, data=[50015], isExpired=false}
[2022-04-10 00:03:10,222]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548990105, data=[50029], isExpired=false}
[2022-04-10 00:03:15,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548995122, data=[49536], isExpired=false}
[2022-04-10 00:03:20,228]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549000214, data=[50658], isExpired=false}
[2022-04-10 00:03:25,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549005121, data=[49838], isExpired=false}
[2022-04-10 00:03:30,199]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549010082, data=[50373], isExpired=false}
[2022-04-10 00:03:35,211]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549015095, data=[50030], isExpired=false}
[2022-04-10 00:03:40,231]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549020217, data=[50044], isExpired=false}
[2022-04-10 00:03:45,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549025122, data=[49688], isExpired=false}
[2022-04-10 00:03:50,234]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549030112, data=[50543], isExpired=false}
[2022-04-10 00:03:55,244]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549035121, data=[50231], isExpired=false}
[2022-04-10 00:04:00,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549040122, data=[49372], isExpired=false}
[2022-04-10 00:04:05,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549045122, data=[50678], isExpired=false}
[2022-04-10 00:04:10,209]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549050092, data=[50330], isExpired=false}
[2022-04-10 00:04:15,224]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549055211, data=[50054], isExpired=false}
[2022-04-10 00:04:20,220]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549060206, data=[50045], isExpired=false}
[2022-04-10 00:04:25,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549065122, data=[49967], isExpired=false}
[2022-04-10 00:04:30,155]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549070038, data=[50254], isExpired=false}
[2022-04-10 00:04:35,135]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549075122, data=[50068], isExpired=false}
[2022-04-10 00:04:40,144]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549080023, data=[49989], isExpired=false}
[2022-04-10 00:04:45,191]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549085075, data=[50058], isExpired=false}
[2022-04-10 00:04:50,175]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549090058, data=[50022], isExpired=false}
[2022-04-10 00:04:55,236]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549095104, data=[50024], isExpired=false}
[2022-04-10 00:05:00,143]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549100122, data=[49904], isExpired=false}
[2022-04-10 00:05:05,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549105122, data=[49401], isExpired=false}
[2022-04-10 00:05:10,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549110122, data=[50379], isExpired=false}
[2022-04-10 00:05:15,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549115122, data=[49999], isExpired=false}
[2022-04-10 00:05:20,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549120122, data=[50468], isExpired=false}
[2022-04-10 00:05:25,140]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549125122, data=[49760], isExpired=false}
[2022-04-10 00:05:30,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549130122, data=[49447], isExpired=false}
[2022-04-10 00:05:35,138]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549135018, data=[48975], isExpired=false}
[2022-04-10 00:05:40,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549140122, data=[49909], isExpired=false}
[2022-04-10 00:05:45,143]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549145122, data=[49931], isExpired=false}
[2022-04-10 00:05:50,196]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549150079, data=[50471], isExpired=false}
[2022-04-10 00:05:55,238]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549155122, data=[50027], isExpired=false}
[2022-04-10 00:06:00,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549160122, data=[49755], isExpired=false}
